Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Player Profile URL,Nationality
MS Wade (SW),2025-2025,3,3,1,49,44*,24.50,33,148.48,-,-,1,5,2,https://www.espncricinfo.com/cricketers/matthew-wade-230193,Australia
A Lyth (GG),2025-2025,4,4,-,46,32,11.50,41,112.19,-,-,-,6,1,https://www.espncricinfo.com/cricketers/adam-lyth-251721,England
Ibrahim Zadran (GG),2025-2025,4,4,-,45,24,11.25,50,90.00,-,-,-,4,1,https://www.espncricinfo.com/cricketers/ibrahim-zadran-921509,Afghanistan
SW Billings (DC),2025-2025,4,2,-,44,38,22.00,26,169.23,-,-,-,5,2,https://www.espncricinfo.com/cricketers/sam-billings-297628,England
DR Mousley (MIE),2025-2025,6,4,-,43,17,10.75,56,76.78,-,-,-,2,1,https://www.espncricinfo.com/cricketers/dan-mousley-1172968,England
Aayan Afzal Khan (GG),2025-2025,10,5,3,43,15,21.50,45,95.55,-,-,-,1,2,https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,U.A.E.
KMA Paul (SW),2025-2025,4,4,1,37,21,12.33,31,119.35,-,-,-,5,1,https://www.espncricinfo.com/cricketers/keemo-paul-677081,West Indies
TG Southee (SW),2025-2025,12,4,-,32,24,8.00,31,103.22,-,-,1,3,2,https://www.espncricinfo.com/cricketers/tim-southee-232364,New Zealand
EC D'Souza (SW),2025-2025,7,4,1,30,14,10.00,24,125.00,-,-,-,4,1,https://www.espncricinfo.com/cricketers/ethan-d-souza-1345983,U.A.E.
PW Hasaranga (DV),2025-2025,9,4,1,29,13,9.66,28,103.57,-,-,-,2,1,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,Sri Lanka
Khuzaima Tanveer (DV),2025-2025,7,3,1,28,15*,14.00,17,164.70,-,-,-,2,2,https://www.espncricinfo.com/cricketers/khuzaima-tanveer-1460551,U.A.E.
BJ Jacobs (MIE),2025-2025,3,3,1,26,18,13.00,27,96.29,-,-,-,2,1,https://www.espncricinfo.com/cricketers/bevon-jacobs-1410577,New Zealand
Harmeet Singh (SW),2025-2025,5,4,1,22,11,7.33,30,73.33,-,-,-,2,0,https://www.espncricinfo.com/cricketers/harmeet-singh-422847,U.S.A.
TH David (GG),2025-2025,3,2,-,19,10,9.50,19,100.00,-,-,-,1,1,https://www.espncricinfo.com/cricketers/tim-david-892749,Australia
AJ Hose (DV),2025-2025,4,3,1,19,12*,9.50,25,76.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/adam-hose-525992,England
WG Jacks (MIE),2025-2025,1,1,-,18,18,18.00,17,105.88,-,-,-,3,0,https://www.espncricinfo.com/cricketers/will-jacks-897549,England
Najibullah Zadran (DC),2025-2025,3,3,1,18,10*,9.00,20,90.00,-,-,-,1,0,https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,Afghanistan
MM Ali (SW),2025-2025,1,1,-,17,17,17.00,16,106.25,-,-,-,1,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,England
LH Ferguson (DV),2025-2025,8,3,2,16,9*,16.00,17,94.11,-,-,-,0,1,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,New Zealand
Khalid Shah (DC),2025-2025,4,3,-,14,10,4.66,16,87.50,-,-,1,1,1,https://www.espncricinfo.com/cricketers/khalid-shah-1141545,U.A.E.
AF Milne (SW),2025-2025,12,4,3,14,8*,14.00,16,87.50,-,-,-,0,1,https://www.espncricinfo.com/cricketers/adam-milne-450860,New Zealand
AU Rashid (SW),2025-2025,3,2,1,13,9*,13.00,13,100.00,-,-,-,0,1,https://www.espncricinfo.com/cricketers/adil-rashid-244497,England
CJ Jordan (GG),2025-2025,3,2,1,11,10*,11.00,6,183.33,-,-,-,2,0,https://www.espncricinfo.com/cricketers/chris-jordan-288992,England
Saghir Khan (GG),2025-2025,5,2,-,11,11,5.50,6,183.33,-,-,1,1,1,https://www.espncricinfo.com/cricketers/saghir-khan-1460539,U.A.E.
DA Payne (DV),2025-2025,8,1,-,9,9,9.00,8,112.50,-,-,-,0,1,https://www.espncricinfo.com/cricketers/david-payne-362710,England
PBB Rajapaksa (SW),2025-2025,2,2,-,9,7,4.50,23,39.13,-,-,-,0,0,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,Sri Lanka
TS Mills (GG),2025-2025,4,2,1,8,8*,8.00,9,88.88,-,-,1,2,0,https://www.espncricinfo.com/cricketers/tymal-mills-459257,England
Ali Naseer (DV),2025-2025,7,2,-,7,5,3.50,13,53.84,-,-,-,0,0,https://www.espncricinfo.com/cricketers/ali-naseer-1212829,U.A.E.
Rahmanullah Gurbaz (DV),2025-2025,3,3,-,7,5,2.33,15,46.66,-,-,-,0,0,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,Afghanistan
D Parashar (DV),2025-2025,6,1,-,5,5,5.00,11,45.45,-,-,-,0,0,https://www.espncricinfo.com/cricketers/dhruv-parashar-1294144,U.A.E.
OG Robinson (GG),2025-2025,2,2,-,5,5,2.50,12,41.66,-,-,1,0,0,https://www.espncricinfo.com/cricketers/ollie-robinson-893955,England
SC Kuggeleijn (DC),2025-2025,3,2,1,4,4,4.00,2,200.00,-,-,-,1,0,https://www.espncricinfo.com/cricketers/scott-kuggeleijn-539548,New Zealand
Shahid Bhutta (ADKR),2025-2025,3,1,1,3,3*,-,9,33.33,-,-,-,0,0,https://www.espncricinfo.com/cricketers/shahid-bhutta-1460540,U.A.E.
AS Joseph (MIE),2025-2025,10,3,1,3,3*,1.50,6,50.00,-,-,2,0,0,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,West Indies
Farhan Khan (DC),2025-2025,7,1,1,2,2*,-,2,100.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/farhan-khan-1460534,U.A.E.
Zahoor Khan (MIE),2025-2025,7,2,2,2,2*,-,2,100.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,U.A.E.
PVD Chameera (DC),2025-2025,9,1,-,1,1,1.00,5,20.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,Sri Lanka
DC Drakes (GG),2025-2025,2,1,1,1,1*,-,1,100.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/dominic-drakes-906749,West Indies
T Hinds (ADKR),2025-2025,2,1,1,1,1*,-,1,100.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/terrance-hinds-1152714,West Indies
Zuhaib Zubair (GG),2025-2025,3,1,1,1,1*,-,1,100.00,-,-,-,0,0,https://www.espncricinfo.com/cricketers/muhammad-zuhaib-1241253,U.A.E.
NA Sowter (DV),2025-2025,6,2,2,1,1*,-,3,33.33,-,-,-,0,0,https://www.espncricinfo.com/cricketers/nathan-sowter-747315,England
Ibrar Ahmad (ADKR),2025-2025,7,2,2,1,1*,-,3,33.33,-,-,-,0,0,https://www.espncricinfo.com/cricketers/ibrar-ahmad-1460538,U.A.E.
OP Stone (DC),2025-2025,4,3,2,1,1*,1.00,7,14.28,-,-,1,0,0,https://www.espncricinfo.com/cricketers/olly-stone-457279,England
MA Jones (DV),2025-2025,1,1,-,-,-,-,2,-,-,-,1,0,0,https://www.espncricinfo.com/cricketers/michael-jones-1093091,Scotland
Uzair Khan (GG),2025-2025,2,1,1,-,0*,-,1,-,-,-,-,0,0,https://www.espncricinfo.com/cricketers/uzair-khan-1103708,U.A.E.
Haider Ali (DC),2025-2025,12,1,-,-,-,-,0,-,-,-,1,0,0,https://www.espncricinfo.com/cricketers/haider-ali-1160970,Pakistan
AM Ghazanfar (MIE),2025-2025,3,1,1,-,0*,-,5,-,-,-,-,0,0,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798,Afghanistan
T Suri (DV),2025-2025,6,1,-,-,-,-,2,-,-,-,1,0,0,https://www.espncricinfo.com/cricketers/tanish-suri-1411891,U.A.E.
OC McCoy (DC),2025-2025,11,2,2,-,0*,-,3,-,-,-,-,0,0,https://www.espncricinfo.com/cricketers/obed-mccoy-906783,West Indies
