Player,Inns_batting,NO,Runs_batting,HS,Ave_batting,BF,SR_batting,100,50,0,4s,6s,Inns_bowling,Balls,Overs,Mdns,Runs_bowling,Wkts,BBI,Ave_bowling,Econ,SR_bowling,4,5,Team,Nationality,Matches
Sikandar Raza ,9.0,3,165,34*,27.50,122.0,135.24,0,0,0,13.0,4.0,12.0,210.0,35.0,0,275.0,7.0,2/24,39.28,7.85,30.0,0,0,DC,Zimbabwe,12.0
T Banton ,11.0,2,493,105,54.77,325.0,151.69,2,3,0,49.0,21.0,,,,,,,,,,,,,MIE,England,11.0
T Hinds ,1.0,1,1,1*,0,1.0,100.00,0,0,0,0.0,0.0,2.0,23.0,3.5,0,29.0,1.0,1/12,29.0,7.56,23.0,0,0,ADKR,West Indies,2.0
T Kohler-Cadmore ,10.0,3,388,91*,55.42,279.0,139.06,0,3,1,36.0,18.0,,,,,,,,,,,,,SW,England,10.0
T Suri ,1.0,0,0,0,0,2.0,0,0,0,1,0.0,0.0,,,,,,,,,,,,,DV,U.A.E.,6.0
TG Southee ,4.0,0,32,24,8.00,31.0,103.22,0,0,1,3.0,2.0,12.0,260.0,43.2,0,377.0,10.0,3/30,37.7,8.7,26.0,0,0,SW,New Zealand,12.0
TH David ,2.0,0,19,10,9.50,19.0,100.00,0,0,0,1.0,1.0,,,,,,,,,,,,,GG,Australia,3.0
TK Curran ,5.0,3,157,64*,78.50,111.0,141.44,0,1,0,16.0,4.0,5.0,114.0,19.0,0,178.0,2.0,1/33,89.0,9.36,57.0,0,0,GG,England,5.0
TL Seifert ,6.0,1,101,40*,20.20,92.0,109.78,0,0,0,6.0,4.0,,,,,,,,,,,,,SW,New Zealand,8.0
TP Alsop ,4.0,1,136,85*,45.33,125.0,108.80,0,1,0,12.0,2.0,,,,,,,,,,,,,GG,England,4.0
TS Mills ,2.0,1,8,8*,8.00,9.0,88.88,0,0,1,2.0,0.0,4.0,90.0,15.0,0,155.0,3.0,1/23,51.66,10.33,30.0,0,0,GG,England,4.0
Uzair Khan ,1.0,1,0,0*,0,1.0,0,0,0,0,0.0,0.0,2.0,12.0,2.0,0,24.0,1.0,1/12,24.0,12.0,12.0,0,0,GG,U.A.E.,2.0
V Viyaskanth ,,,,,,,,,,,,,2.0,30.0,5.0,0,60.0,1.0,1/38,60.0,12.0,30.0,0,0,ADKR,Sri Lanka,3.0
WG Jacks ,1.0,0,18,18,18.00,17.0,105.88,0,0,0,3.0,0.0,,,,,,,,,,,,,MIE,England,1.0
WIA Fernando ,6.0,1,131,81,26.20,63.0,207.93,0,1,1,10.0,12.0,,,,,,,,,,,,,SW,Sri Lanka,6.0
Wahidullah Zadran ,,,,,,,,,,,,,2.0,42.0,7.0,0,59.0,2.0,1/27,29.5,8.42,21.0,0,0,GG,Afghanistan,2.0
Waqar Salamkheil ,,,,,,,,,,,,,10.0,186.0,31.0,0,256.0,6.0,1/13,42.66,8.25,31.0,0,0,MIE,Afghanistan,10.0
Zahir Khan ,,,,,,,,,,,,,6.0,108.0,18.0,0,190.0,4.0,3/34,47.5,10.55,27.0,0,0,DC,Afghanistan,6.0
Zahoor Khan ,2.0,2,2,2*,0,2.0,100.00,0,0,0,0.0,0.0,7.0,126.0,21.0,0,148.0,5.0,2/24,29.6,7.04,25.2,0,0,MIE,U.A.E.,7.0
Zuhaib Zubair ,1.0,1,1,1*,0,1.0,100.00,0,0,0,0.0,0.0,2.0,24.0,4.0,0,41.0,1.0,1/22,41.0,10.25,24.0,0,0,GG,U.A.E.,3.0
