Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Player Profile URL
Harmeet Singh (SW),2025-2025,5,5,78,13.0,-,83,3,1/17,27.66,6.38,26.00,-,-,https://www.espncricinfo.com/cricketers/harmeet-singh-422847
R Shepherd (MIE),2025-2025,10,6,60,10.0,-,95,3,2/14,31.66,9.50,20.00,-,-,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
TS Mills (GG),2025-2025,4,4,90,15.0,-,155,3,1/23,51.66,10.33,30.00,-,-,https://www.espncricinfo.com/cricketers/tymal-mills-459257
AC Agar (SW),2025-2025,7,7,132,22.0,-,170,3,1/14,56.66,7.72,44.00,-,-,https://www.espncricinfo.com/cricketers/ashton-agar-505120
Wahidullah Zadran (GG),2025-2025,2,2,42,7.0,-,59,2,1/27,29.50,8.42,21.00,-,-,https://www.espncricinfo.com/cricketers/wahidullah-zadran-1411737
AD Russell (ADKR),2025-2025,10,3,42,7.0,-,80,2,1/15,40.00,11.42,21.00,-,-,https://www.espncricinfo.com/cricketers/andre-russell-276298
DW Lawrence (DV),2025-2025,13,6,66,11.0,-,99,2,1/15,49.50,9.00,33.00,-,-,https://www.espncricinfo.com/cricketers/dan-lawrence-641423
Shahid Bhutta (ADKR),2025-2025,3,3,60,10.0,-,119,2,1/27,59.50,11.90,30.00,-,-,https://www.espncricinfo.com/cricketers/shahid-bhutta-1460540
Haider Ali (DC),2025-2025,12,10,138,23.0,-,156,2,1/6,78.00,6.78,69.00,-,-,https://www.espncricinfo.com/cricketers/haider-ali-1160970
TK Curran (GG),2025-2025,5,5,114,19.0,-,178,2,1/33,89.00,9.36,57.00,-,-,https://www.espncricinfo.com/cricketers/tom-curran-550235
AJ Hosein (MIE),2025-2025,10,10,179,29.5,1,232,2,1/24,116.00,7.77,89.50,-,-,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
Uzair Khan (GG),2025-2025,2,2,12,2.0,-,24,1,1/12,24.00,12.00,12.00,-,-,https://www.espncricinfo.com/cricketers/uzair-khan-1103708
T Hinds (ADKR),2025-2025,2,2,23,3.5,-,29,1,1/12,29.00,7.56,23.00,-,-,https://www.espncricinfo.com/cricketers/terrance-hinds-1152714
RL Chase (ADKR),2025-2025,5,1,18,3.0,-,31,1,1/31,31.00,10.33,18.00,-,-,https://www.espncricinfo.com/cricketers/roston-chase-391832
Rehan Ahmed (GG),2025-2025,2,2,24,4.0,-,38,1,1/33,38.00,9.50,24.00,-,-,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691
D Parashar (DV),2025-2025,6,4,34,5.4,-,40,1,1/9,40.00,7.05,34.00,-,-,https://www.espncricinfo.com/cricketers/dhruv-parashar-1294144
Zuhaib Zubair (GG),2025-2025,3,2,24,4.0,-,41,1,1/22,41.00,10.25,24.00,-,-,https://www.espncricinfo.com/cricketers/muhammad-zuhaib-1241253
Karim Janat (SW),2025-2025,5,3,30,5.0,-,55,1,1/24,55.00,11.00,30.00,-,-,https://www.espncricinfo.com/cricketers/karim-janat-793467
V Viyaskanth (ADKR),2025-2025,3,2,30,5.0,-,60,1,1/38,60.00,12.00,30.00,-,-,https://www.espncricinfo.com/cricketers/vijayakanth-viyaskanth-1153149
AM Ghazanfar (MIE),2025-2025,3,3,43,7.1,-,68,1,1/24,68.00,9.48,43.00,-,-,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798
DC Drakes (GG),2025-2025,2,2,46,7.4,-,78,1,1/40,78.00,10.17,46.00,-,-,https://www.espncricinfo.com/cricketers/dominic-drakes-906749
Muhammad Jawadullah (SW),2025-2025,3,3,42,7.0,-,82,1,1/17,82.00,11.71,42.00,-,-,https://www.espncricinfo.com/cricketers/muhammad-jawadullah-1353033
L Wood (DV),2025-2025,4,4,78,13.0,-,101,1,1/30,101.00,7.76,78.00,-,-,https://www.espncricinfo.com/cricketers/luke-wood-573170
SC Kuggeleijn (DC),2025-2025,3,3,60,10.0,-,115,1,1/35,115.00,11.50,60.00,-,-,https://www.espncricinfo.com/cricketers/scott-kuggeleijn-539548
