Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Player Profile URL,Nationality
A Zampa (SW),2025-2025,5,5,114,19.0,-,144,6,3/27,24.0,7.57,19.0,-,-,https://www.espncricinfo.com/cricketers/adam-zampa-379504,Australia
NA Sowter (DV),2025-2025,6,6,126,21.0,-,215,6,3/44,35.83,10.23,21.0,-,-,https://www.espncricinfo.com/cricketers/nathan-sowter-747315,England
Waqar Salamkheil (MIE),2025-2025,10,10,186,31.0,-,256,6,1/13,42.66,8.25,31.0,-,-,https://www.espncricinfo.com/cricketers/waqar-salamkheil-1108490,Afghanistan
DR Mousley (MIE),2025-2025,6,4,60,10.0,-,75,5,2/8,15.0,7.5,12.0,-,-,https://www.espncricinfo.com/cricketers/dan-mousley-1172968,England
OP Stone (DC),2025-2025,4,4,90,15.0,1,125,5,2/14,25.0,8.33,18.0,-,-,https://www.espncricinfo.com/cricketers/olly-stone-457279,England
Zahoor Khan (MIE),2025-2025,7,7,126,21.0,-,148,5,2/24,29.6,7.04,25.2,-,-,https://www.espncricinfo.com/cricketers/zahoor-khan-384525,U.A.E.
DJ Worrall (GG),2025-2025,6,6,132,22.0,1,171,5,2/19,34.2,7.77,26.4,-,-,https://www.espncricinfo.com/cricketers/daniel-worrall-557298,Australia
SP Narine (ADKR),2025-2025,10,10,240,40.0,-,247,5,2/20,49.4,6.17,48.0,-,-,https://www.espncricinfo.com/cricketers/sunil-narine-230558,West Indies
CJ Jordan (GG),2025-2025,3,3,55,9.1,-,79,4,2/20,19.75,8.61,13.75,-,-,https://www.espncricinfo.com/cricketers/chris-jordan-288992,England
Farhan Khan (DC),2025-2025,7,7,94,15.4,-,150,4,1/14,37.5,9.57,23.5,-,-,https://www.espncricinfo.com/cricketers/farhan-khan-1460534,U.A.E.
Ibrar Ahmad (ADKR),2025-2025,7,7,90,15.0,-,161,4,2/27,40.25,10.73,22.5,-,-,https://www.espncricinfo.com/cricketers/ibrar-ahmad-1460538,U.A.E.
Zahir Khan (DC),2025-2025,6,6,108,18.0,-,190,4,3/34,47.5,10.55,27.0,-,-,https://www.espncricinfo.com/cricketers/zahir-khan-712219,Afghanistan
Ali Khan (ADKR),2025-2025,6,6,106,17.4,-,205,4,2/23,51.25,11.6,26.5,-,-,https://www.espncricinfo.com/cricketers/ali-khan-927119,U.S.A.
AU Rashid (SW),2025-2025,3,3,72,12.0,-,80,3,2/14,26.66,6.66,24.0,-,-,https://www.espncricinfo.com/cricketers/adil-rashid-244497,England
Rohan Mustafa (SW),2025-2025,12,6,66,11.0,-,81,3,2/12,27.0,7.36,22.0,-,-,https://www.espncricinfo.com/cricketers/rohan-mustafa-307808,U.A.E.
Harmeet Singh (SW),2025-2025,5,5,78,13.0,-,83,3,1/17,27.66,6.38,26.0,-,-,https://www.espncricinfo.com/cricketers/harmeet-singh-422847,U.S.A.
R Shepherd (MIE),2025-2025,10,6,60,10.0,-,95,3,2/14,31.66,9.5,20.0,-,-,https://www.espncricinfo.com/cricketers/romario-shepherd-677077,West Indies
TS Mills (GG),2025-2025,4,4,90,15.0,-,155,3,1/23,51.66,10.33,30.0,-,-,https://www.espncricinfo.com/cricketers/tymal-mills-459257,England
AC Agar (SW),2025-2025,7,7,132,22.0,-,170,3,1/14,56.66,7.72,44.0,-,-,https://www.espncricinfo.com/cricketers/ashton-agar-505120,Australia
Wahidullah Zadran (GG),2025-2025,2,2,42,7.0,-,59,2,1/27,29.5,8.42,21.0,-,-,https://www.espncricinfo.com/cricketers/wahidullah-zadran-1411737,Afghanistan
AD Russell (ADKR),2025-2025,10,3,42,7.0,-,80,2,1/15,40.0,11.42,21.0,-,-,https://www.espncricinfo.com/cricketers/andre-russell-276298,West Indies
DW Lawrence (DV),2025-2025,13,6,66,11.0,-,99,2,1/15,49.5,9.0,33.0,-,-,https://www.espncricinfo.com/cricketers/dan-lawrence-641423,England
Shahid Bhutta (ADKR),2025-2025,3,3,60,10.0,-,119,2,1/27,59.5,11.9,30.0,-,-,https://www.espncricinfo.com/cricketers/shahid-bhutta-1460540,U.A.E.
Haider Ali (DC),2025-2025,12,10,138,23.0,-,156,2,1/6,78.0,6.78,69.0,-,-,https://www.espncricinfo.com/cricketers/haider-ali-1160970,Pakistan
TK Curran (GG),2025-2025,5,5,114,19.0,-,178,2,1/33,89.0,9.36,57.0,-,-,https://www.espncricinfo.com/cricketers/tom-curran-550235,England
AJ Hosein (MIE),2025-2025,10,10,179,29.5,1,232,2,1/24,116.0,7.77,89.5,-,-,https://www.espncricinfo.com/cricketers/akeal-hosein-530812,West Indies
Uzair Khan (GG),2025-2025,2,2,12,2.0,-,24,1,1/12,24.0,12.0,12.0,-,-,https://www.espncricinfo.com/cricketers/uzair-khan-1103708,U.A.E.
T Hinds (ADKR),2025-2025,2,2,23,3.5,-,29,1,1/12,29.0,7.56,23.0,-,-,https://www.espncricinfo.com/cricketers/terrance-hinds-1152714,West Indies
RL Chase (ADKR),2025-2025,5,1,18,3.0,-,31,1,1/31,31.0,10.33,18.0,-,-,https://www.espncricinfo.com/cricketers/roston-chase-391832,West Indies
Rehan Ahmed (GG),2025-2025,2,2,24,4.0,-,38,1,1/33,38.0,9.5,24.0,-,-,https://www.espncricinfo.com/cricketers/rehan-ahmed-1263691,England
D Parashar (DV),2025-2025,6,4,34,5.4,-,40,1,1/9,40.0,7.05,34.0,-,-,https://www.espncricinfo.com/cricketers/dhruv-parashar-1294144,U.A.E.
Zuhaib Zubair (GG),2025-2025,3,2,24,4.0,-,41,1,1/22,41.0,10.25,24.0,-,-,https://www.espncricinfo.com/cricketers/muhammad-zuhaib-1241253,U.A.E.
Karim Janat (SW),2025-2025,5,3,30,5.0,-,55,1,1/24,55.0,11.0,30.0,-,-,https://www.espncricinfo.com/cricketers/karim-janat-793467,Afghanistan
V Viyaskanth (ADKR),2025-2025,3,2,30,5.0,-,60,1,1/38,60.0,12.0,30.0,-,-,https://www.espncricinfo.com/cricketers/vijayakanth-viyaskanth-1153149,Sri Lanka
AM Ghazanfar (MIE),2025-2025,3,3,43,7.1,-,68,1,1/24,68.0,9.48,43.0,-,-,https://www.espncricinfo.com/cricketers/am-ghazanfar-1326798,Afghanistan
DC Drakes (GG),2025-2025,2,2,46,7.4,-,78,1,1/40,78.0,10.17,46.0,-,-,https://www.espncricinfo.com/cricketers/dominic-drakes-906749,West Indies
Muhammad Jawadullah (SW),2025-2025,3,3,42,7.0,-,82,1,1/17,82.0,11.71,42.0,-,-,https://www.espncricinfo.com/cricketers/muhammad-jawadullah-1353033,U.A.E.
L Wood (DV),2025-2025,4,4,78,13.0,-,101,1,1/30,101.0,7.76,78.0,-,-,https://www.espncricinfo.com/cricketers/luke-wood-573170,England
SC Kuggeleijn (DC),2025-2025,3,3,60,10.0,-,115,1,1/35,115.0,11.5,60.0,-,-,https://www.espncricinfo.com/cricketers/scott-kuggeleijn-539548,New Zealand
